exercise_id,accessory_id,is_primary,,,,,name,,name
55,1,FALSE,Flat Bench Press,Bamboo Barbell,,,Horizontal Extensions,,Bamboo Barbell
55,2,FALSE,Flat Bench Press,Soft Hand Grip,,,Lat-Band Pullown,,Soft Hand Grip
55,4,FALSE,Flat Bench Press,Door Strap,,,Seated Band Rows,,Padded Ankle Grip
55,5,FALSE,Flat Bench Press,Hand Strap,,,Bent Over Band-Rows,,Door Strap
55,6,FALSE,Flat Bench Press,Rubberlution T-Shirt,,,Straight Arm Pulldowns,,Hand Strap
50,1,FALSE,Incline Bench Press,Bamboo Barbell,,,Reverse Flyes,,Rubberlution T-Shirt
50,2,FALSE,Incline Bench Press,Soft Hand Grip,,,Deadlift,,
50,4,FALSE,Incline Bench Press,Door Strap,,,Kickbacks,,
50,5,FALSE,Incline Bench Press,Hand Strap,,,Tricep Pushdown,,
50,6,FALSE,Incline Bench Press,Rubberlution T-Shirt,,,Dips,,
51,1,FALSE,Decline Bench Press,Bamboo Barbell,,,Animals,,
51,2,FALSE,Decline Bench Press,Soft Hand Grip,,,Close Grip Push-Up Press,,
51,4,FALSE,Decline Bench Press,Door Strap,,,Lateral Extension,,
51,5,FALSE,Decline Bench Press,Hand Strap,,,Vertical Extensions,,
51,6,FALSE,Decline Bench Press,Rubberlution T-Shirt,,,Overhead Extensions,,
52,6,FALSE,Push Up Press,Rubberlution T-Shirt,,,Wrapped Shoulder Extension,,
54,1,FALSE,Pull Over,Bamboo Barbell,,,Resisted Kicks,,
54,2,FALSE,Pull Over,Soft Hand Grip,,,Military Press,,
54,4,FALSE,Pull Over,Door Strap,,,Front Raises,,
54,6,FALSE,Pull Over,Rubberlution T-Shirt,,,Lateral Raises,,
35,1,FALSE,Bandbell Curls,Bamboo Barbell,,,Upright Rows,,
35,2,FALSE,Bandbell Curls,Soft Hand Grip,,,Cableband Laterals,,
35,6,FALSE,Bandbell Curls,Rubberlution T-Shirt,,,Skiers,,
47,2,FALSE,Hammer Curls,Soft Hand Grip,,,Isolation Pulls,,
47,6,FALSE,Hammer Curls,Rubberlution T-Shirt,,,Shrugs,,
48,2,FALSE,Alternate Bandbell Curls,Soft Hand Grip,,,Leg Liberator,,
48,4,FALSE,Alternate Bandbell Curls,Door Strap,,,Back Lubricator,,
48,6,FALSE,Alternate Bandbell Curls,Rubberlution T-Shirt,,,Loose Arm-ony,,
49,2,TRUE,Concentration Curls,Soft Hand Grip,,,Ankle Motionizer,,
49,4,FALSE,Concentration Curls,Door Strap,,,Relaxalator,,
49,6,FALSE,Concentration Curls,Rubberlution T-Shirt,,,Neck Stup,,
36,1,TRUE,Reverse Curls,Bamboo Barbell,,,Quad-lity,,
36,2,FALSE,Reverse Curls,Soft Hand Grip,,,Wicked Chicken Wing,,
36,6,FALSE,Reverse Curls,Rubberlution T-Shirt,,,Crossband Lateral Curls,,
37,2,FALSE,Cableband Curls,Soft Hand Grip,,,Bandbell Curls,,
37,4,FALSE,Cableband Curls,Door Strap,,,Reverse Curls,,
37,6,FALSE,Cableband Curls,Rubberlution T-Shirt,,,Cableband Curls,,
34,2,FALSE,Crossband Lateral Curls,Soft Hand Grip,,,Squats,,
34,6,FALSE,Crossband Lateral Curls,Rubberlution T-Shirt,,,Leg Press,,
2,1,FALSE,Lat-Band Pullown,Bamboo Barbell,,,Leg Extensions,,
2,2,FALSE,Lat-Band Pullown,Soft Hand Grip,,,Good Mornings,,
2,4,FALSE,Lat-Band Pullown,Door Strap,,,Straight Leg Deadlift,,
2,6,FALSE,Lat-Band Pullown,Rubberlution T-Shirt,,,Leg Curls,,
3,1,FALSE,Seated Band Rows,Bamboo Barbell,,,Calf Raises,,
3,2,FALSE,Seated Band Rows,Soft Hand Grip,,,Hip Abductor/Adductor,,
3,4,FALSE,Seated Band Rows,Door Strap,,,Lunges,,
3,6,FALSE,Seated Band Rows,Rubberlution T-Shirt,,,Hammer Curls,,
4,1,FALSE,Bent Over Band-Rows,Bamboo Barbell,,,Alternate Bandbell Curls,,
4,2,FALSE,Bent Over Band-Rows,Soft Hand Grip,,,Concentration Curls,,
4,4,FALSE,Bent Over Band-Rows,Door Strap,,,Incline Bench Press,,
4,6,FALSE,Bent Over Band-Rows,Rubberlution T-Shirt,,,Decline Bench Press,,
5,1,TRUE,Straight Arm Pulldowns,Bamboo Barbell,,,Push Up Press,,
5,2,FALSE,Straight Arm Pulldowns,Soft Hand Grip,,,Flyes,,
5,4,FALSE,Straight Arm Pulldowns,Door Strap,,,Pull Over,,
5,6,FALSE,Straight Arm Pulldowns,Rubberlution T-Shirt,,,Flat Bench Press,,
6,2,FALSE,Reverse Flyes,Soft Hand Grip,,,Superman,,
6,4,FALSE,Reverse Flyes,Door Strap,,,Twist,,
6,5,FALSE,Reverse Flyes,Hand Strap,,,Woodchopper,,
6,6,FALSE,Reverse Flyes,Rubberlution T-Shirt,,,Side Bend,,
7,1,FALSE,Deadlift,Bamboo Barbell,,,Side Bridge,,
7,2,FALSE,Deadlift,Soft Hand Grip,,,Obliquatory,,
7,6,FALSE,Deadlift,Rubberlution T-Shirt,,,Plank,,
9,1,FALSE,Tricep Pushdown,Bamboo Barbell,,,Raise,,
9,2,TRUE,Tricep Pushdown,Soft Hand Grip,,,Roll,,
9,4,FALSE,Tricep Pushdown,Door Strap,,,Hyperextension,,
9,6,FALSE,Tricep Pushdown,Rubberlution T-Shirt,,,Aligner,,
8,2,TRUE,Kickbacks,Soft Hand Grip,,,Bicycle,,
8,4,FALSE,Kickbacks,Door Strap,,,Crunch,,
8,6,FALSE,Kickbacks,Rubberlution T-Shirt,,,Squeeze,,
1,1,TRUE,Horizontal Extensions,Bamboo Barbell,,,,,
1,2,FALSE,Horizontal Extensions,Soft Hand Grip,,,,,
1,4,FALSE,Horizontal Extensions,Door Strap,,,,,
1,6,FALSE,Horizontal Extensions,Rubberlution T-Shirt,,,,,
11,1,TRUE,Animals,Bamboo Barbell,,,,,
11,2,FALSE,Animals,Soft Hand Grip,,,,,
11,4,FALSE,Animals,Door Strap,,,,,
11,6,FALSE,Animals,Rubberlution T-Shirt,,,,,
12,6,FALSE,Close Grip Push-Up Press,Rubberlution T-Shirt,,,,,
14,1,FALSE,Vertical Extensions,Bamboo Barbell,,,,,
14,2,TRUE,Vertical Extensions,Soft Hand Grip,,,,,
14,6,FALSE,Vertical Extensions,Rubberlution T-Shirt,,,,,
15,1,FALSE,Overhead Extensions,Bamboo Barbell,,,,,
15,2,TRUE,Overhead Extensions,Soft Hand Grip,,,,,
15,4,FALSE,Overhead Extensions,Door Strap,,,,,
15,6,FALSE,Overhead Extensions,Rubberlution T-Shirt,,,,,
16,1,FALSE,Wrapped Shoulder Extension,Bamboo Barbell,,,,,
16,2,FALSE,Wrapped Shoulder Extension,Soft Hand Grip,,,,,
16,5,FALSE,Wrapped Shoulder Extension,Hand Strap,,,,,
16,6,FALSE,Wrapped Shoulder Extension,Rubberlution T-Shirt,,,,,
18,1,FALSE,Military Press,Bamboo Barbell,,,,,
18,2,FALSE,Military Press,Soft Hand Grip,,,,,
18,6,FALSE,Military Press,Rubberlution T-Shirt,,,,,
19,1,FALSE,Front Raises,Bamboo Barbell,,,,,
19,2,FALSE,Front Raises,Soft Hand Grip,,,,,
19,6,FALSE,Front Raises,Rubberlution T-Shirt,,,,,
13,2,FALSE,Lateral Extension,Soft Hand Grip,,,,,
13,4,FALSE,Lateral Extension,Door Strap,,,,,
13,6,FALSE,Lateral Extension,Rubberlution T-Shirt,,,,,
22,2,FALSE,Cableband Laterals,Soft Hand Grip,,,,,
22,4,FALSE,Cableband Laterals,Door Strap,,,,,
22,6,FALSE,Cableband Laterals,Rubberlution T-Shirt,,,,,
23,2,FALSE,Skiers,Soft Hand Grip,,,,,
23,4,FALSE,Skiers,Door Strap,,,,,
23,6,FALSE,Skiers,Rubberlution T-Shirt,,,,,
24,2,FALSE,Isolation Pulls,Soft Hand Grip,,,,,
24,4,FALSE,Isolation Pulls,Door Strap,,,,,
24,6,FALSE,Isolation Pulls,Rubberlution T-Shirt,,,,,
25,1,TRUE,Shrugs,Bamboo Barbell,,,,,
25,2,TRUE,Shrugs,Soft Hand Grip,,,,,
25,6,FALSE,Shrugs,Rubberlution T-Shirt,,,,,
38,1,FALSE,Squats,Bamboo Barbell,,,,,
38,2,FALSE,Squats,Soft Hand Grip,,,,,
38,6,FALSE,Squats,Rubberlution T-Shirt,,,,,
46,5,FALSE,Lunges,Hand Strap,,,,,
46,6,FALSE,Lunges,Rubberlution T-Shirt,,,,,
39,1,FALSE,Leg Press,Bamboo Barbell,,,,,
39,2,FALSE,Leg Press,Soft Hand Grip,,,,,
39,3,TRUE,Leg Press,Padded Ankle Grip,,,,,
39,5,FALSE,Leg Press,Hand Strap,,,,,
39,6,FALSE,Leg Press,Rubberlution T-Shirt,,,,,
40,3,FALSE,Leg Extensions,Padded Ankle Grip,,,,,
40,4,FALSE,Leg Extensions,Door Strap,,,,,
40,6,FALSE,Leg Extensions,Rubberlution T-Shirt,,,,,
41,5,FALSE,Good Mornings,Hand Strap,,,,,
41,6,FALSE,Good Mornings,Rubberlution T-Shirt,,,,,
42,1,TRUE,Straight Leg Deadlift,Bamboo Barbell,,,,,
42,2,FALSE,Straight Leg Deadlift,Soft Hand Grip,,,,,
42,6,FALSE,Straight Leg Deadlift,Rubberlution T-Shirt,,,,,
43,3,FALSE,Leg Curls,Padded Ankle Grip,,,,,
43,4,FALSE,Leg Curls,Door Strap,,,,,
43,6,FALSE,Leg Curls,Rubberlution T-Shirt,,,,,
44,3,FALSE,Calf Raises,Padded Ankle Grip,,,,,
44,6,FALSE,Calf Raises,Rubberlution T-Shirt,,,,,
45,3,FALSE,Hip Abductor/Adductor,Padded Ankle Grip,,,,,
45,4,FALSE,Hip Abductor/Adductor,Door Strap,,,,,
45,6,FALSE,Hip Abductor/Adductor,Rubberlution T-Shirt,,,,,
17,3,FALSE,Resisted Kicks,Padded Ankle Grip,,,,,
17,4,FALSE,Resisted Kicks,Door Strap,,,,,
17,6,FALSE,Resisted Kicks,Rubberlution T-Shirt,,,,,
27,2,FALSE,Back Lubricator,Soft Hand Grip,,,,,
27,4,FALSE,Back Lubricator,Door Strap,,,,,
27,6,FALSE,Back Lubricator,Rubberlution T-Shirt,,,,,
30,1,FALSE,Relaxalator,Bamboo Barbell,,,,,
30,2,FALSE,Relaxalator,Soft Hand Grip,,,,,
30,4,FALSE,Relaxalator,Door Strap,,,,,
30,6,FALSE,Relaxalator,Rubberlution T-Shirt,,,,,
28,2,FALSE,Loose Arm-ony,Soft Hand Grip,,,,,
28,4,FALSE,Loose Arm-ony,Door Strap,,,,,
28,6,FALSE,Loose Arm-ony,Rubberlution T-Shirt,,,,,
33,6,FALSE,Wicked Chicken Wing,Rubberlution T-Shirt,,,,,
31,6,FALSE,Neck Stup,Rubberlution T-Shirt,,,,,
26,3,FALSE,Leg Liberator,Padded Ankle Grip,,,,,
26,6,FALSE,Leg Liberator,Rubberlution T-Shirt,,,,,
32,6,FALSE,Quad-lity,Rubberlution T-Shirt,,,,,
29,4,FALSE,Ankle Motionizer,Door Strap,,,,,
29,6,FALSE,Ankle Motionizer,Rubberlution T-Shirt,,,,,
69,1,FALSE,Squeeze,Bamboo Barbell,,,,,
69,2,FALSE,Squeeze,Soft Hand Grip,,,,,
69,4,FALSE,Squeeze,Door Strap,,,,,
69,6,FALSE,Squeeze,Rubberlution T-Shirt,,,,,
63,2,FALSE,Raise,Soft Hand Grip,,,,,
63,6,FALSE,Raise,Rubberlution T-Shirt,,,,,
68,6,FALSE,Crunch,Rubberlution T-Shirt,,,,,
67,5,FALSE,Bicycle,Hand Strap,,,,,
67,6,FALSE,Bicycle,Rubberlution T-Shirt,,,,,
64,6,FALSE,Roll,Rubberlution T-Shirt,,,,,
62,6,FALSE,Plank,Rubberlution T-Shirt,,,,,
60,6,FALSE,Side Bridge,Rubberlution T-Shirt,,,,,
61,6,FALSE,Obliquatory,Rubberlution T-Shirt,,,,,
57,2,FALSE,Twist,Soft Hand Grip,,,,,
57,4,FALSE,Twist,Door Strap,,,,,
57,6,FALSE,Twist,Rubberlution T-Shirt,,,,,
58,2,FALSE,Woodchopper,Soft Hand Grip,,,,,
58,6,FALSE,Woodchopper,Rubberlution T-Shirt,,,,,
56,6,FALSE,Superman,Rubberlution T-Shirt,,,,,
65,1,FALSE,Hyperextension,Bamboo Barbell,,,,,
65,2,FALSE,Hyperextension,Soft Hand Grip,,,,,
65,4,FALSE,Hyperextension,Door Strap,,,,,
65,6,FALSE,Hyperextension,Rubberlution T-Shirt,,,,,
59,2,FALSE,Side Bend,Soft Hand Grip,,,,,
59,6,FALSE,Side Bend,Rubberlution T-Shirt,,,,,
66,6,FALSE,Aligner,Rubberlution T-Shirt,,,,,
